"source","target","id","developer_comments"
"BTL_MES_026_001_0","哦……感觉是个硬家伙啊。","BTL_MES_026_001_0","机翻辅助：

哦……感觉是个硬家伙啊。

嗯……真是个有嚼劲的家伙啊。

呼……真是个有嚼劲的家伙。"
"BTL_MES_026_002_0","就是这样！鼓起干劲上吧！","BTL_MES_026_002_0","机翻辅助：

就是这样！鼓起干劲上吧！

就是这么回事！鼓起干劲！

就是这么回事！打起精神来！"
"BTL_MES_026_003_0","喂、喂，那家伙很不妙啊！！","BTL_MES_026_003_0","机翻辅助：

喂、喂，那家伙很不妙啊！！

喂、喂，那家伙真糟糕！！

喂、喂，那可不得了！！"
"BTL_MES_026_004_0","撤退撤退！明白的话就马上逃！","BTL_MES_026_004_0","机翻辅助：

撤退撤退！明白的话就马上逃！

撤退撤退！明白了就快逃！

撤退撤退！知道了马上逃！"
"BTL_MES_026_005_0","唔……现在的你们的话……","BTL_MES_026_005_0","机翻辅助：

唔……现在的你们的话……

嗯……如果是现在的你们的话……

唔……如果是现在的你们……"
"BTL_MES_026_006_0","但是，那家伙很硬。
需要下功夫给予伤害。","BTL_MES_026_006_0","机翻辅助：

但是，那家伙很硬。
需要下功夫给予伤害。

但是，那家伙很硬。
要想办法给予伤害啊。

但是，那家伙很硬。有必要在打击上下功夫。"
"BTL_MES_026_007_0","大招很麻烦的家伙。
别大意了。","BTL_MES_026_007_0","机翻辅助：

大招很麻烦的家伙。
别大意了。

大招很麻烦的家伙。不要疏忽大意。


大招是个麻烦的家伙。别大意。"
"BTL_MES_026_008_0","物理攻击很麻烦的家伙。
别忘了。","BTL_MES_026_008_0","机翻辅助：

物理攻击很麻烦的家伙。
别忘了。

物理攻击很麻烦的家伙。
不要忘记。

物理攻击是个麻烦的家伙。不要忘记。"
"BTL_MES_026_009_0","魔法攻击很麻烦的家伙。
别大意了。","BTL_MES_026_009_0","机翻辅助：

魔法攻击很麻烦的家伙。
别大意了。

魔法攻击很麻烦的家伙。
不要漏掉哦。

魔法攻击很麻烦的家伙。不要偷懒啊。"
"BTL_MES_026_010_0","弱了会发飙的家伙。
要打就一口气打倒！","BTL_MES_026_010_0","机翻辅助：

弱了会发飙的家伙。
要打就一口气打倒！

是一变弱就会胡闹的类型啊。
要打倒的话就一鼓作气吧！

你是一软弱就胡闹的类型。要打倒就一口气干！"
"BTL_MES_026_011_0","噢噢，那道光芒……","BTL_MES_026_011_0","机翻辅助：

噢噢，那道光芒……

哦，那个光辉……

啊，那光辉……"
"BTL_MES_026_012_0","喂、喂，别让它逃了！？","BTL_MES_026_012_0","机翻辅助：

喂、喂，别让它逃了！？

喂、喂，别让他跑了！？"
"BTL_MES_026_013_0","唔……有全体攻击！","BTL_MES_026_013_0","机翻辅助：

唔……有全体攻击！

嗯……有全体攻击哦！

唔……拥有全体攻击哦！"
"BTL_MES_026_014_0","仔细看看伙伴！
有没有陷入危机的家伙？","BTL_MES_026_014_0","机翻辅助：

仔细看看伙伴！
有没有陷入危机的家伙？

好好看看同伴！
有没有陷入危机的家伙？

好好看看你的同伴！
有没有危机四伏的家伙？"
"BTL_MES_026_015_0","好像有范围攻击！","BTL_MES_026_015_0","机翻辅助：

好像有范围攻击！"
"BTL_MES_026_016_0","喂，别忘了防御啊！","BTL_MES_026_016_0","机翻辅助：

喂，别忘了防御啊！

喂，别忘了防御！"
"BTL_MES_026_017_0","这家伙……有即死攻击！","BTL_MES_026_017_0","机翻辅助：

这家伙……有即死攻击！

这家伙有当场死亡攻击！

这家伙……我有即死攻击！"
"BTL_MES_026_018_0","喂，别松懈啊！","BTL_MES_026_018_0","机翻辅助：

喂，别松懈啊！

喂，别泄气！

喂，别放松啊！"
"BTL_MES_026_019_0","喂，现在不能用属性攻击！","BTL_MES_026_019_0","机翻辅助：

喂，现在不能用属性攻击！

喂，现在属性攻击不行！

喂，现在属性攻击不行哦！"
"BTL_MES_026_020_0","那就用物理攻击！","BTL_MES_026_020_0","机翻辅助：

那就用物理攻击！

那就用物理攻击吧！"
"BTL_MES_026_021_0","下一招会很大！","BTL_MES_026_021_0","机翻辅助：

下一招会很大！

下一个，大的来了！"
"BTL_MES_026_022_0","好好防御！","BTL_MES_026_022_0","机翻辅助：

好好防御！"
"BTL_MES_026_023_0","这……好像很难缠啊……","BTL_MES_026_023_0","机翻辅助：

这……好像很难缠啊……

这个……看起来很厉害啊……

这是……看来很难对付啊……"
