"source","target","id","developer_comments"
"TOWN_PRE_PARTY_JOIN_0","“パーティ編成”[F2 01 01 01]を
利用できるようになりました。
　
先程行ったパーティ編成の他、
パーティの登録や呼び出し、
ナビキャラの設定なども行えます。","TOWN_PRE_PARTY_JOIN_0",""
"TOWN_TUTORIAL_CAMP_PERSO_0","Ｘボタンで開けるメニューに
[F2 01 03 01]“ＰＥＲＳＯＮＡ”[F2 01 01 01]が追加されました。","TOWN_TUTORIAL_CAMP_PERSO_0",""
"TOWN_TUTORIAL_CAMP_PERSO_1","付け替え可能な“サブペルソナ”は、メニューの
[F2 01 03 01]“ＰＥＲＳＯＮＡ”[F2 01 01 01]から装備する事ができます。","TOWN_TUTORIAL_CAMP_PERSO_1",""
"TOWN_TUTORIAL_PARTY_JOIN_0","新たなメンバーが加入[F2 01 01 01]しました。
　
パーティ編成の幅が広がりますので、
色々な組み合わせを試してみるのも
良いでしょう。","TOWN_TUTORIAL_PARTY_JOIN_0",""
"TOWN_TUTORIAL_VELVET_OPE_0","“ベルベットルーム”[F2 01 01 01]を
利用できるようになりました。
　
合体により新たなペルソナ生み出したり、
ペルソナ全書でペルソナを
閲覧・召喚することができます。","TOWN_TUTORIAL_VELVET_OPE_0",""
"TOWN_TUTORIAL_NOFFICE_OP_0","“保健室”[F2 01 01 01]を
利用できるようになりました。
　
治療を受けることで、
傷ついたメンバーを回復できます。","TOWN_TUTORIAL_NOFFICE_OP_0",""
"TOWN_TUTORIAL_SHOP_OPEN_0","“ショップ”[F2 01 01 01]を
利用できるようになりました。
　
装備品やアイテムを売買したり、
手荷物を預けることができます。","TOWN_TUTORIAL_SHOP_OPEN_0",""
"TOWN_TUTORIAL_DUNGEON_OP_0","“映画に入る”[F2 01 01 01]を
利用できるようになりました。
　
迷宮へ入り、
ストーリーや依頼を進めることができます。","TOWN_TUTORIAL_DUNGEON_OP_0",""
"MSG_FCL_QUEST_OPEN_0","チケット売り場ができたらしいぞ！","MSG_FCL_QUEST_OPEN_0","佐倉 双葉"
"TOWN_TUTORIAL_ODEKAKE_OP_0","“校内散策”[F2 01 01 01]で
校内で仲間たちと過ごす事が
できるようになりました。","TOWN_TUTORIAL_ODEKAKE_OP_0",""
"TOWN_TUTORIAL_VELVET_TRI_0","ベルベットルームで
３体のペルソナを使用する合体、
[F2 01 03 01]“トライアングル・スプレッド”[F2 01 01 01]が
できるようになりました。","TOWN_TUTORIAL_VELVET_TRI_0",""
"TOWN_TUTORIAL_NOFFICE_QU_0","保健室で[F2 01 03 01]“依頼”[F2 01 01 01]を受ける事が
できるようになりました。","TOWN_TUTORIAL_NOFFICE_QU_0",""
"TOWN_TUTORIAL_CAMP_QUEST_0","依頼はＸボタンで開けるメニューの
[F2 01 03 01]“ＳＹＳＴＥＭ”[F2 01 01 01]から確認できます。","TOWN_TUTORIAL_CAMP_QUEST_0",""
"TOWN_TUTORIAL_CAMP_QUEST_2_0","受領した依頼を確認することができます。","TOWN_TUTORIAL_CAMP_QUEST_2_0","佐倉 双葉"
"TOWN_TUTORIAL_CAMP_QUEST_3_0","依頼を選択すると、
[F2 01 03 01]“詳細”[F2 01 01 01]を確認することもできます。","TOWN_TUTORIAL_CAMP_QUEST_3_0","佐倉 双葉"
"TOWN_TUTORIAL_QUEST_REPO_0","依頼の達成条件を満たしたら、
保健室へ[F2 01 03 01]“報告”[F2 01 01 01]しに行きましょう。
　
報告しないと報酬は受け取れません。
注意しましょう。","TOWN_TUTORIAL_QUEST_REPO_0",""
"TOWN_TO_DUNGEON_0","サブペを装備していない時の警告文。
サブペルソナの準備をしてください。","TOWN_TO_DUNGEON_0",""
"TOWN_TO_GREED1_0","挨拶１。","TOWN_TO_GREED1_0",""
"TOWN_TO_GREED2_0","挨拶２。","TOWN_TO_GREED2_0",""
"MSG_TUTORIAL_PROTO_START_0","【プロト２ＲＯＭ　ＳＴＡＲＴ】
”クエスト受注施設”から
”ヒーローベルトを探せ”を受注して
迷宮探索を開始してください。","MSG_TUTORIAL_PROTO_START_0",""
"MSG_TUTORIAL_QUEST1_0","発生したクエストは”クエスト受注施設”で
受注することができます。","MSG_TUTORIAL_QUEST1_0",""
"MSG_TUTORIAL_QUEST2_0","達成したクエストは
”クエスト受注施設”で”報告”を行ってください。","MSG_TUTORIAL_QUEST2_0",""
"MSG_SHOP_OPEN_0","さっきショップの方で
何か大きい物音がしてたぞ！","MSG_SHOP_OPEN_0","佐倉 双葉"
"MSG_V_ROOM_ONLY_0","今はベルベットルームに行こうぜ！","MSG_V_ROOM_ONLY_0","佐倉 双葉"
"MSG_TUTORIAL_NAVI_OPEN_S_0","新たなメンバーの加入により、
ナビの役割を[F2 01 03 01]戦闘[F2 01 01 01]と[F2 01 03 01]探索[F2 01 01 01]に分け、
二人に分担できるようになりました。
　
パーティ編成メニューの
[F2 01 03 01]『ナビ設定』[F2 01 01 01]から設定を行うことが
できます。","MSG_TUTORIAL_NAVI_OPEN_S_0",""
"MSG_SUB_PERSONA_OPEN_0","『サブペルソナ』[F2 01 01 01]が解禁しました。","MSG_SUB_PERSONA_OPEN_0",""
"MSG_CAMP_MENU_OPEN_0","Ｘボタン[F2 01 01 01]で『メニュー』が
開けるようになりました。
　
アイテムの使用や装備の変更を行ったり
各種ステータスの確認ができます。","MSG_CAMP_MENU_OPEN_0",""
