"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","提高警觉寻找","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专心采集","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","放弃","ITEM_POINT_SEL_2","机翻辅助：

放弃

停止"
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","放弃","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃

停止"
"SHORTCUT_SEL_0","能通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","不能通过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","回头","ENTRANCE_SEL_0","机翻辅助：

回头

后退

返回"
"ENTRANCE_SEL_1","不回头","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"MSG_000_0","哦！宝物地点！
要采吗？要采吗？","MSG_000_0","机翻辅助：

哦！宝物地点！
要采吗？要采吗？

哎呀！宝物景点！
采用？采了吗？

噢！宝藏地点！
摘下来？采下来？"
"MSG_001_0","哦！
不能掉以轻心！","MSG_001_0","机翻辅助：

哦！
不能掉以轻心！

哦！
不要松懈！

喔！
绝不松懈！"
"MSG_002_0","那我要专心了！
包在我身上！","MSG_002_0","机翻辅助：

那我要专心了！
包在我身上！

那就专心吧！
交给我吧！"
"MSG_003_0","哦？要停手吗？
了解了解！","MSG_003_0","机翻辅助：

哦？要停手吗？
了解了解！

哦？停止吧？
了解了解了解！

您？阻止他？
了解了解！"
"MSG_004_0","这样就全部采完了！","MSG_004_0","机翻辅助：

这样就全部采完了！

这就是全部了！"
"MSG_005_0","不错嘛。","MSG_005_0","机翻辅助：

不错嘛。

不是很好吗。

很好嘛。"
"MSG_006_0","哦哦～","MSG_006_0","机翻辅助：

哦哦～

呵呵。"
"MSG_007_0","哦。","MSG_007_0","机翻辅助：

哦。"
"MSG_008_0","吓、吓死我了……
总之采集工作完美结束！","MSG_008_0","机翻辅助：

吓、吓死我了……
总之采集工作完美结束！

我好害怕啊……
总之采集很完美啊！

总之采集的时候是干巴巴的！"
"MSG_009_0","我拿到稀有道具了！","MSG_009_0","机翻辅助：

我拿到稀有道具了！

是稀有入手！

是稀有入手哟！"
"MSG_010_0","真的假的！","MSG_010_0","机翻辅助：

真的假的！

真的吗！！"
"MSG_011_0","来了——！","MSG_011_0","机翻辅助：

来了——！

来了！"
"MSG_012_0","哦，我发现捷径了！
怎么办？","MSG_012_0","机翻辅助：

哦，我发现捷径了！
怎么办？

哎呀，发现近道！
怎么办？

啊，发现捷径了！
怎么办？"
"MSG_015_0","这边好像不能走耶。","MSG_015_0","机翻辅助：

这边好像不能走耶。

这边不能通过吗？

这边不能通过吗。"
"MSG_018_0","欸……这里很危险吧？
感觉是绝对会出事的类型。","MSG_018_0","机翻辅助：

欸……这里很危险吧？
感觉是绝对会出事的类型。

啊……这里很糟糕吧？
是绝对会出现的类型吧？

是吧……这里很奇怪吧？
是绝对会出现的系吧？"
"MSG_019_0","真的假的！
好、好！我要调查一下。","MSG_019_0","机翻辅助：

真的假的！
好、好！我要调查一下。

真的！？
好，好！要调查吗？"
"MSG_020_0","就是说啊，还是别过去吧。
顺平，不要靠近危险！","MSG_020_0","机翻辅助：

就是说啊，还是别过去吧。
顺平，不要靠近危险！

是啊，停下来吧。顺平，不要靠近危险！


是吧，算了吧。顺平，勿近危！"
"MSG_021_0","糟糕，太强了吧……
采集也是要赌命的呢。","MSG_021_0","机翻辅助：

糟糕，太强了吧……
采集也是要赌命的呢。

太厉害了吧……采集也是冒着生命危险啊。


真是的，太强了吧。"
"MSG_022_0","这里暗影的气息好像很多？
怎么办？","MSG_022_0","机翻辅助：

这里暗影的气息好像很多？
怎么办？

这里，暗影的气息很多吧？
怎么办？

这里暗影的动静很多吧？
怎么办？"
"MSG_023_0","好！小心地调查吧！","MSG_023_0","机翻辅助：

好！小心地调查吧！

喂！小心调查吧！

喂！小心检查吧！"
"MSG_024_0","哦？要停手吗？","MSG_024_0","机翻辅助：

哦？要停手吗？

哦？停下来。

您？阻止他吗？"
"MSG_025_0","好！这样就结束了！","MSG_025_0","机翻辅助：

好！这样就结束了！

喂！就这样结束了！

喂！这就结束了吧！"
"MSG_026_0","哦，从这边可以回到电影院耶
怎么办？","MSG_026_0","机翻辅助：

哦，从这边可以回到电影院耶
怎么办？

哦，从这里可以回电影院了～～？
怎么办？

哎呀，从这里可以回电影院了吧？
怎么办？"
"MSG_027_0","！！啊啊！！","MSG_027_0","机翻辅助：

！！啊啊！！

！！啊啊啊！！

！！啊！！"
"speaker_伊織 順平","伊织顺平","speaker_伊織 順平","机翻辅助：

伊织顺平"
