"source","target","id","developer_comments"
"ITEM_POINT_SEL_0","警惕地搜索","ITEM_POINT_SEL_0","机翻辅助：

提高警觉寻找

一边警戒一边寻找

警惕地寻找"
"ITEM_POINT_SEL_1","专注于采取行动","ITEM_POINT_SEL_1","机翻辅助：

专心采集"
"ITEM_POINT_SEL_2","停止","ITEM_POINT_SEL_2","机翻辅助：

放弃

停止"
"ITEM_POINT_FORCE_BTL_SEL_0","寻找","ITEM_POINT_FORCE_BTL_SEL_0","机翻辅助：

寻找"
"ITEM_POINT_FORCE_BTL_SEL_1","停止","ITEM_POINT_FORCE_BTL_SEL_1","机翻辅助：

放弃

停止"
"SHORTCUT_SEL_0","能通过","SHORTCUT_SEL_0","机翻辅助：

能通过

通过

经过"
"SHORTCUT_SEL_1","通不过","SHORTCUT_SEL_1","机翻辅助：

不能通过

不通

不通过"
"ENTRANCE_SEL_0","返回","ENTRANCE_SEL_0","机翻辅助：

回头

后退

返回"
"ENTRANCE_SEL_1","不会回来","ENTRANCE_SEL_1","机翻辅助：

不回头

不回去

不回来"
"CARO_MSG_005_0","不错。","CARO_MSG_005_0","机翻辅助：

不错呢。

还不错。

不坏。"
"JUS_MSG_005_0","挺好的。","JUS_MSG_005_0","机翻辅助：

很好呢。

好啊。"
"CARO_MSG_006_0","好吧。","CARO_MSG_006_0","机翻辅助：

好吧。"
"JUS_MSG_006_0","工作做得很好。","JUS_MSG_006_0","机翻辅助：

干得不错。

很好的作用。

是很好的工作。"
"CARO_MSG_007_0","还可以。","CARO_MSG_007_0","机翻辅助：

还可以。

还过得去。"
"JUS_MSG_007_0","不错的结果。","JUS_MSG_007_0","机翻辅助：

结果不错呢。

结果还不错。"
"CARO_MSG_009_0","好结果啊！","CARO_MSG_009_0","机翻辅助：

结果很好啊！

好结果啊！

结果不错啊！"
"JUS_MSG_009_0","那是……！？","JUS_MSG_009_0","机翻辅助：

那个是……！？

那是……！？"
"CARO_MSG_010_0","做得相当不错！","CARO_MSG_010_0","机翻辅助：

挺能干的嘛！

别干了！

真够干的！"
"JUS_MSG_010_0","很棒。","JUS_MSG_010_0","机翻辅助：

太棒了。

很棒。"
"CARO_MSG_011_0","我会夸奖你的！","CARO_MSG_011_0","机翻辅助：

我要夸夸你！

我要表扬你！"
"JUS_MSG_011_0","值得赞赏。","JUS_MSG_011_0","机翻辅助：

值得赞赏。

值得称赞。"
"CARO_MSG_027_0","把握！！","CARO_MSG_027_0","机翻辅助：

！！啊啊！！

！！啊啊啊！！

！！啊！！"
"JUS_MSG_027_0","把握！！","JUS_MSG_027_0","机翻辅助：

！！啊啊！！

！！啊啊啊！！

！！啊！！"
"speaker_カロリーヌ","卡萝丽娜","speaker_カロリーヌ","机翻辅助：

卡萝丽娜"
